galaxy,R_kpc,Vobs_kms,e_Vobs_kms,Vbar2_kms2,delta_g_obs,sigma_delta_g,nfw_full_delta_g,nfw_outer_delta_g,iso_full_delta_g,log_full_delta_g,gap_nfw_full,gap_nfw_outer,gap_density_proxy_nfw_outer,is_inner,is_outer
D631-7,0.45,8.41,1.58,120.46005,-110.51544444444444,59.57747008433227,365.4691190255652,458.6378101851352,65.86166314933477,365.43640457208056,-475.9845634700096,-569.1532546295797,-1305514.8673137857,True,False
D631-7,0.9,17.8,2.22,302.95529999999997,15.427444444444518,89.56014592591734,365.4471928958722,458.6102944435974,129.9717994437625,365.4199614137591,-350.0197484514277,-443.1828499991529,-4105705.4096823446,True,False
D631-7,1.35,26.0,2.35,494.3788,134.5342222222222,93.91727965811906,365.425268981791,458.58278148829345,190.7307828256195,365.4035197351221,-230.8910467595688,-324.04855926607127,-3066903.9106469885,True,False
D631-7,1.8,30.9,2.22,578.77685,208.90730555555552,80.70273481270631,365.40334728800997,458.5552713192233,246.8159393271982,365.3870795359699,-156.49604173245444,-249.6479657636678,-1371995.8555484163,True,False
D631-7,2.25,34.7,1.82,594.4132,270.9674666666667,62.18775662003012,365.38142781448823,458.5277639339313,297.2607381626375,365.3706408161027,-94.41396114782151,-187.56029726726456,-129842.53603251069,True,False
D631-7,2.69,38.8,1.81,600.7409,336.31936802973973,59.23948055977556,365.35999758370576,458.50087051800267,340.56857900941895,365.35456883127074,-29.040629553966028,-122.18150248826294,529891.8534668785,True,False
D631-7,3.14,42.5,1.57,580.4177,390.39245222929935,51.317631925578425,365.33808249761745,458.4733686381216,378.48704295914683,365.3381330365129,25.054369731681902,-68.08091640882225,958808.9802670438,False,True
D631-7,3.59,45.6,1.59,557.9432999999999,423.79295264623966,49.70148166776768,365.31616962895095,458.44586954320494,410.04175568844937,365.3216987204457,58.47678301728871,-34.65291689696528,1183629.9756820274,False,True
D631-7,4.04,48.8,1.83,533.4628499999999,457.4200866336633,53.13368830099605,365.29425897824166,458.4183732314217,435.55100718273764,365.3052658828696,92.12582765542163,-0.9982865977584083,1122256.4915676864,False,True
D631-7,4.49,51.8,1.91,500.99004999999994,486.0244877505568,53.244937030001005,365.27235054507133,458.3908797026118,455.4957161282582,365.28883452358525,120.75213720548544,27.63360804794496,935541.8556861369,False,True
D631-7,4.94,54.8,2.19,471.6441,512.4283198380565,57.311815707629506,365.25044432897107,458.3633889561183,470.45101750967405,365.272404642393,147.17787550908542,54.06493088193821,562639.8758293199,False,True
D631-7,5.39,56.6,2.73,439.9664,512.7260853432283,64.57899751879417,365.22854032992916,458.3359009917208,481.03029620758787,365.2559762390935,147.49754501329915,54.390184351507514,-47711.444650087746,False,True
D631-7,5.84,58.4,3.27,410.56374999999997,513.6979880136987,71.62262212457736,365.2066385474106,458.30841580836886,487.8434590989928,365.23954931348726,148.4913494662881,55.38957220532984,-618882.3144327424,False,True
D631-7,6.29,58.5,3.95,382.6849499999999,483.2376868044515,78.34823848920023,365.18473898112035,458.2809334066631,491.4686397513917,365.223123865375,118.05294782333118,24.956753397788418,-639817.3731104261,False,True
D631-7,6.74,57.7,4.07,356.93879999999996,441.00166172106833,73.93248966656456,365.16284163046,458.253453785694,492.43516042369,365.2066998945574,75.83882009060835,-17.251792064625647,-295566.426613194,False,True
D631-7,7.19,57.3,3.94,332.6440999999999,410.38190542420017,66.82077405435626,365.14094649550094,458.225976945064,491.21512834999913,365.1902774008351,45.24095892869923,-47.84407152086385,-27141.611445035516,False,True
DDO064,0.1,6.29,4.62,0.6439000000000001,389.202,581.5325613568018,644.5919902213203,3023.1806070431967,77.20336017811816,644.5623496909237,-255.38999022132032,-2633.9786070431965,-79903201.00298822,True,False
DDO064,0.3,13.9,4.62,13.905549999999995,597.6815,429.3293394774123,644.5748016797999,2442.7208731459987,226.69288685365333,644.5494588306557,-46.89330167979983,-1845.0393731459985,-101013703.1742977,True,False
DDO064,0.49,15.6,4.62,46.34485,402.0717346938775,295.21769941149233,644.5584732543545,2045.280754807822,356.08102654120387,644.537212990984,-242.48673856047697,-1643.2090201139445,-62599762.08155263,True,False
DDO064,0.69,18.4,4.62,103.08330000000001,341.2705797101449,247.61834432134557,644.5412861859838,1731.3214608766066,472.9350092968575,644.5243231361242,-303.27070647583895,-1390.0508811664617,-26539244.64020919,True,False
DDO064,0.89,22.5,4.62,118.4097,435.7756179775281,235.32052899193113,644.5240998909012,1490.0284904280593,566.8959072246691,644.5114337968128,-208.7484819133731,-1054.2528724505312,-4552733.2746313065,True,False
DDO064,1.09,26.5,4.62,159.34494999999998,498.0780275229358,226.94011483082045,644.5069143715793,1299.7506876510686,637.7894653763963,644.4985449730185,-146.42888684864351,-801.6726601281327,5001810.728080202,True,False
DDO064,1.29,35.3,4.62,236.64189999999996,782.5179069767439,257.4180670365908,644.4897296256224,1146.513793998975,687.5604659769332,644.4856566647107,138.02817735112149,-363.99588702223105,8874413.579595879,True,False
DDO064,1.48,40.5,4.62,353.68219999999997,869.3025675675676,258.85227602204736,644.4734048308451,1026.6582963173926,718.0859412076045,644.4734132492597,224.82916273672254,-157.35572874982495,8311926.320478523,True,False
DDO064,1.68,44.2,4.89,447.1748000000001,896.7054761904762,263.794799112553,644.4562215900145,921.260040209101,735.8763033984093,644.4605259460617,252.24925460046177,-24.554564018624774,5051097.897041468,False,True
DDO064,1.88,46.3,4.62,520.6913999999999,863.2971276595744,234.5929362538963,644.439039124581,832.5185409970055,742.1894270049261,644.4476391582589,218.85808853499339,30.77858666256884,2250755.640230079,False,True
DDO064,2.08,46.4,4.62,568.1346000000001,761.9352884615384,212.52101880038282,644.4218574320226,756.9663171168113,739.8987007129972,644.4347528858203,117.5134310295158,4.9689713447271515,771067.5356955058,False,True
DDO064,2.27,46.3,4.62,582.98535,687.5350881057267,194.28842297679518,644.405535539708,695.0422725215651,731.9129827527034,644.4225114043318,43.129552566018674,-7.507184415838424,-664806.8766713527,False,True
DDO064,2.37,46.4,6.73,597.11415,656.4750421940929,267.4064738650701,644.3969453488513,665.7009634805589,726.0099863089777,644.4160687061371,12.078096845241589,-9.225921286466019,-918216.3563200451,False,True
DDO064,2.98,46.9,8.65,639.6009500000001,523.4929697986576,274.76172922465304,644.344549376438,523.4479195592377,675.6518168727727,644.3767710366517,-120.8515795777804,0.04505023941987929,498554.2157547251,False,True
DDO154,0.49,13.8,1.6,89.75565,205.4782653061225,92.19372980347988,469.5391909104125,695.939524033205,184.8365618413703,468.1569631807149,-264.06092560429,-490.4612587270825,718702.0165270274,True,False
DDO154,0.99,21.6,0.8,161.50285000000002,308.1385353535354,42.11756862375676,460.7081822575647,643.3604889551416,335.0500821875329,459.41142285704314,-152.5696469040293,-335.2219536016062,504929.8265491325,True,False
DDO154,1.48,28.9,0.7,202.00814999999997,427.8390878378378,39.28780090986606,452.32208410491376,598.0009403759952,428.78100701996317,451.1521041987843,-24.482996267075976,-170.16185253815746,413439.7521832139,True,False
DDO154,1.97,34.3,0.5,244.0082,473.3410152284263,34.565552918974085,444.1900520345813,557.7624411867984,475.1974962115359,443.1845136245944,29.150963193844973,-84.42142595837208,638474.947307195,True,False
DDO154,2.47,38.2,0.4,269.96909999999997,481.4861943319838,32.02571702811012,436.14275076232656,521.1702013966257,488.4300247050884,435.339281423274,45.34344356965727,-39.68400706464183,742957.655012968,False,True
