r,target_delta_g,nfw_full_delta_g,nfw_outer_delta_g,cored_isothermal_full_delta_g,gap_full_delta_g,gap_outer_delta_g,target_speed,nfw_outer_speed,target_slope,nfw_outer_slope,target_density_proxy,nfw_outer_density_proxy,gap_outer_density_proxy
16.977625570776258,2029.693735159628,1762.190437569221,2019.645743277933,1990.1353783519119,267.5032975904069,10.047991881694998,185.6323793385477,185.17232302637686,-0.8224485806167081,-0.7957681176816322,0.00026048117171413804,0.000265043527736575,-4.562356022435951e-06
17.158904109589045,2011.9836323532957,1755.1831074731904,2002.6044456409963,1972.9867270345037,256.8005248801053,9.379186712299315,185.80482829467286,185.3712427864435,-0.8277977233906313,-0.7998726599719248,0.0002543203877357295,0.00025914487506493094,-4.82448732920198e-06
17.34018264840183,1994.5012001386353,1748.2221916706362,1985.7985622463211,1956.0913825936614,246.27900846799912,8.702637892314215,185.97046836221224,185.56430091018305,-0.8329980963924868,-0.8039343858325765,0.0002483685841475212,0.00025342356539232927,-5.054981244807628e-06
17.521461187214616,1977.2446975243083,1741.3072564189085,1969.223552836255,1939.445124319344,235.93744110539978,8.021144688053255,186.1295683799274,185.7516461568223,-0.838053306671668,-0.8079540016708506,0.00024261711360080865,0.00024787284669303296,-5.255733092221015e-06
17.7027397260274,1960.2122656696802,1734.4378732222747,1952.8749896579761,1923.04375456628,225.7743924474055,7.337276011704034,186.282386571884,185.93342265279688,-0.8429668963662493,-0.8119321980865379,0.00023705773213567526,0.00024248627930238218,-5.42854716670445e-06
17.884018264840186,1943.401939798263,1727.6136187539448,1936.7485540590014,1906.8831045613576,215.78832104431808,6.653385739261466,186.42917096655765,186.1097700691557,-0.8477423428971633,-0.8158696503163583,0.00023168257877023745,0.00023725771886178612,-5.5751400915486224e-06
18.06529680365297,1926.8116602729629,1720.8340747794832,1920.840033204294,1890.959039509449,205.97758549347964,5.971627068668795,186.57015979939138,186.28082379078688,-0.8523830592128547,-0.8197670186639243,0.00022648415618761928,0.0002321813003389944,-5.697144151373742e-06
18.246575342465757,1910.4392828876337,1714.0988280815698,1905.1453169099489,1875.2674630646975,196.34045480606392,5.29396597768482,186.70558189945865,186.44671507790954,-0.8568923940774198,-0.8236249489145848,0.00022145531245868502,0.00022725142304676768,-5.796110588081654e-06
18.42785388127854,1894.2825884259382,1707.4074703860429,1889.6603945886943,1859.8043212281618,186.87511803989537,4.622193837243913,186.83565706086,186.60757122024714,-0.8612736324053571,-0.8274440727377055,0.0002165892237421161,0.00022246273658908355,-5.873512846968621e-06
18.609132420091328,1878.3392915352506,1700.7595982892808,1874.3813523026647,1844.565605727082,177.5796932459698,3.957939232585886,186.96059639945528,186.7635156842742,-0.865529995635768,-0.8312250080738863,0.00021187937790702354,0.00021781012766977862,-5.930749762760427e-06
18.79041095890411,1862.6070489602964,1694.1548131868374,1859.3043699191123,1829.5473569259998,168.45223577345905,3.302679041184092,187.0806026955109,186.91466825390242,-0.8696646421467449,-0.8349683595105262,0.00020731955902620583,0.00021328870770347477,-5.969148677269717e-06
18.9716894977169,1847.0834671783596,1687.5927212032882,1844.4257183648924,1814.7456663153182,159.49074597507138,2.657748813467151,187.19587072281857,187.06114516494915,-0.8736806677076174,-0.8386747186451089,0.00020290383269157885,0.0002088938011735325,-5.9899684819510585e-06
19.152968036529682,1831.766109475212,1681.0729331233247,1829.7417569758054,1800.156678618737,150.69317635188736,2.024352499406632,187.3065875648186,187.20305923371353,-0.877581105965362,-0.8423446644358705,0.00019862653210572564,0.00020462093468585847,-5.994402580129974e-06
