galaxy,Rdisk_kpc,Vflat_kms,n_points,coverage_fraction,acceleration_scale,iso_beats_nfw_full,log_beats_nfw_full,central_overshoot_after_outer_nfw,inner_gap_mean_norm_after_outer_nfw,nfw_full_relative_rmse,iso_full_relative_rmse
NGC2915,0.55,83.5,30,0.7361111111111112,1319.9911553834372,True,False,False,-0.6482806237581799,0.7346607528064881,0.5141316692840897
NGC2955,18.76,0.0,24,0.5833333333333334,2802.082736582373,True,False,True,-1.4293703746745463,0.7748623326231409,0.8924528400632029
NGC2976,1.01,85.4,27,0.625,1200.310783382122,True,True,True,-0.7902180496468252,0.4789255024941256,0.1684936940365854
NGC2998,6.2,209.9,13,0.9444444444444444,7575.79856855336,True,True,False,0.5787250434367158,0.5287079563630025,0.5955379520576655
NGC3109,1.56,66.2,25,0.8055555555555556,656.2968059701493,True,True,True,-0.4747230475926165,0.3317588900109423,0.0501147378398509
NGC3198,3.14,150.1,43,1.0,1409.442880952242,True,False,True,-0.712611373448387,0.9560066497349744,0.5747754703210288
NGC3521,2.4,213.7,41,0.9722222222222222,3145.2359665212357,False,True,False,0.1166247820776524,0.3469099364251325,0.6044005203281476
NGC3726,3.4,168.0,12,0.5972222222222222,723.7959208022196,False,True,False,-0.1047850739778823,0.3163623464476538,0.2491963044426006
NGC3741,0.2,50.1,21,0.5555555555555556,448.39663605471367,False,False,False,-0.0458216108977504,0.1246594698211628,0.3136087057068382
NGC3769,3.38,118.6,12,0.7916666666666666,730.5700719096711,True,False,True,-1.0382884778577928,0.7306382349187124,0.3970810972606511
NGC3877,2.53,168.4,13,0.7361111111111112,2129.740064977971,True,False,False,-0.5062150080567638,0.8783330459808825,0.7656528001093621
NGC3893,2.38,174.0,10,0.6944444444444444,1814.5307951633458,True,False,True,-0.6041762745994818,0.4933527711728156,0.2567405263598045
NGC3917,2.63,135.9,17,0.8055555555555556,1318.776756590008,True,False,True,-0.6315854972598329,0.353451757934389,0.1699440887283503
NGC3953,4.89,220.8,8,0.4305555555555556,2404.0127530944105,True,False,False,0.145075008500455,0.0851713405802888,0.0612432396935362
NGC3972,2.18,132.7,10,0.6527777777777778,1628.5312302997463,True,False,False,0.0488494095845537,0.2598526067324092,0.1452090959564149
NGC3992,4.96,241.0,9,0.4166666666666667,2153.6813419672826,False,False,False,0.0226692538158901,0.0405930176452062,0.036724274982362
NGC4010,2.81,125.8,12,0.7083333333333334,1033.0445570231225,True,True,True,-3.2153041500139143,0.3366517869854396,0.3189328795512763
NGC4013,3.53,172.9,36,0.4722222222222222,1118.9197910731948,False,True,False,0.3379201588819053,0.21902355217199,0.2806133596274121
NGC4088,2.58,171.7,12,0.7083333333333334,623.8245073040525,True,True,True,-1.2096855223558902,1.10386167399003,0.8301585292137292
NGC4100,2.15,158.2,24,0.5416666666666666,2027.3019173986074,False,False,True,-0.6315117113407854,0.1993353366090273,0.141114282767201
NGC4157,2.32,184.7,17,0.6805555555555556,972.5672033357049,True,False,False,-0.5402012970842085,0.6980256924503887,0.5220194597182147
NGC4183,2.79,110.6,23,0.9027777777777778,1038.653734062846,True,False,False,0.003425181347034,0.1139924085567744,0.1497643231799192
NGC4217,2.94,181.3,19,0.8472222222222222,5987.51249471349,True,True,True,-0.9207755588842388,1.0279271545699429,1.00579441780205
NGC4559,2.1,121.2,32,0.9305555555555556,744.2530387385708,True,False,True,-0.4685041344317726,0.2500027177270847,0.2111699179848194
NGC5005,9.45,262.2,18,0.4583333333333333,3939.2865442492584,True,True,True,-0.7272436822806307,1.0957473137434823,0.9283830449607712
NGC5033,5.16,194.2,22,1.0,4816.834445368799,True,False,True,-0.7180537805184939,1.162831049895593,0.9921961228270108
