target,bootstrap,mode,best_abs_correlation
signed_nfw_residual_of_residual,3,4,0.9871953312238875
signed_nfw_residual_of_residual,3,5,0.7052300874868744
signed_nfw_residual_of_residual,3,6,0.989591355501872
signed_nfw_residual_of_residual,4,1,0.9992150248171993
signed_nfw_residual_of_residual,4,2,0.9475197433957129
signed_nfw_residual_of_residual,4,3,0.9339689568518041
signed_nfw_residual_of_residual,4,4,0.5936904294349694
signed_nfw_residual_of_residual,4,5,0.6363242501798252
signed_nfw_residual_of_residual,4,6,0.915572585176182
signed_nfw_residual_of_residual,5,1,0.9702532730495121
signed_nfw_residual_of_residual,5,2,0.8297638462690998
signed_nfw_residual_of_residual,5,3,0.9439511320944041
signed_nfw_residual_of_residual,5,4,0.9527315900802567
signed_nfw_residual_of_residual,5,5,0.6783968673558118
signed_nfw_residual_of_residual,5,6,0.800553326323269
signed_nfw_residual_of_residual,6,1,0.9981053956853161
signed_nfw_residual_of_residual,6,2,0.8392455021061785
signed_nfw_residual_of_residual,6,3,0.9876695984530405
signed_nfw_residual_of_residual,6,4,0.6652233252669373
signed_nfw_residual_of_residual,6,5,0.6519285666562624
signed_nfw_residual_of_residual,6,6,0.883721315664067
signed_nfw_residual_of_residual,7,1,0.9990040947550175
signed_nfw_residual_of_residual,7,2,0.9538264231941669
signed_nfw_residual_of_residual,7,3,0.920067708680929
signed_nfw_residual_of_residual,7,4,0.6703461275795749
signed_nfw_residual_of_residual,7,5,0.6444359850868816
signed_nfw_residual_of_residual,7,6,0.945030578317072
signed_nfw_residual_of_residual,8,1,0.9984321746498109
signed_nfw_residual_of_residual,8,2,0.9510109029737366
signed_nfw_residual_of_residual,8,3,0.9522940936666927
signed_nfw_residual_of_residual,8,4,0.9513676714575778
signed_nfw_residual_of_residual,8,5,0.689669129348493
signed_nfw_residual_of_residual,8,6,0.37039438597263485
signed_nfw_residual_of_residual,9,1,0.9539500838847502
signed_nfw_residual_of_residual,9,2,0.9859792339034373
signed_nfw_residual_of_residual,9,3,0.9726361946460272
signed_nfw_residual_of_residual,9,4,0.7582483987199796
signed_nfw_residual_of_residual,9,5,0.46865426607987065
signed_nfw_residual_of_residual,9,6,0.8844639730549189
signed_nfw_residual_of_residual,10,1,0.9971466828920933
signed_nfw_residual_of_residual,10,2,0.9670482172728847
signed_nfw_residual_of_residual,10,3,0.9895398881540433
signed_nfw_residual_of_residual,10,4,0.8886501504384703
signed_nfw_residual_of_residual,10,5,0.664499735223723
signed_nfw_residual_of_residual,10,6,0.9184110278915115
signed_nfw_residual_of_residual,11,1,0.9971045621540627
signed_nfw_residual_of_residual,11,2,0.996154316290444
signed_nfw_residual_of_residual,11,3,0.9851627886160067
signed_nfw_residual_of_residual,11,4,0.9862074677095376
signed_nfw_residual_of_residual,11,5,0.8983050254241003
signed_nfw_residual_of_residual,11,6,0.8883545339468912
signed_nfw_residual_of_residual,12,1,0.9688272580457126
signed_nfw_residual_of_residual,12,2,0.9663831210798776
signed_nfw_residual_of_residual,12,3,0.9680784903311636
signed_nfw_residual_of_residual,12,4,0.84939096836749
signed_nfw_residual_of_residual,12,5,0.5948901452533782
signed_nfw_residual_of_residual,12,6,0.9250071761634948
signed_nfw_residual_of_residual,13,1,0.9953888878063941
signed_nfw_residual_of_residual,13,2,0.9327366372158835
signed_nfw_residual_of_residual,13,3,0.961824693612978
signed_nfw_residual_of_residual,13,4,0.5076457856236718
signed_nfw_residual_of_residual,13,5,0.7819731569569099
signed_nfw_residual_of_residual,13,6,0.9024245616868427
signed_nfw_residual_of_residual,14,1,0.997715761260193
signed_nfw_residual_of_residual,14,2,0.993651584915143
signed_nfw_residual_of_residual,14,3,0.9732179282376374
signed_nfw_residual_of_residual,14,4,0.6562837312649086
signed_nfw_residual_of_residual,14,5,0.7862367168939915
signed_nfw_residual_of_residual,14,6,0.5482661031950342
signed_nfw_residual_of_residual,15,1,0.8972618372103383
signed_nfw_residual_of_residual,15,2,0.971440040555409
signed_nfw_residual_of_residual,15,3,0.8388075683917565
signed_nfw_residual_of_residual,15,4,0.639072460322037
signed_nfw_residual_of_residual,15,5,0.7160789744491073
signed_nfw_residual_of_residual,15,6,0.8904221803185849
signed_nfw_residual_of_residual,16,1,0.9987002499047511
signed_nfw_residual_of_residual,16,2,0.9964272711552582
signed_nfw_residual_of_residual,16,3,0.9871736180576919
signed_nfw_residual_of_residual,16,4,0.95762938981349
signed_nfw_residual_of_residual,16,5,0.7262234699577909
signed_nfw_residual_of_residual,16,6,0.6951372420460161
signed_nfw_residual_of_residual,17,1,0.9997468957310066
signed_nfw_residual_of_residual,17,2,0.9453802177762847
signed_nfw_residual_of_residual,17,3,0.9948108688378495
signed_nfw_residual_of_residual,17,4,0.7589945987765763
signed_nfw_residual_of_residual,17,5,0.7043123244249343
signed_nfw_residual_of_residual,17,6,0.9016529102508632
signed_nfw_residual_of_residual,18,1,0.9196066655173402
signed_nfw_residual_of_residual,18,2,0.8703647046908638
signed_nfw_residual_of_residual,18,3,0.9654059831711301
signed_nfw_residual_of_residual,18,4,0.9360269454433401
signed_nfw_residual_of_residual,18,5,0.6098397239469442
signed_nfw_residual_of_residual,18,6,0.7203590741971964
signed_nfw_residual_of_residual,19,1,0.9998120318517107
signed_nfw_residual_of_residual,19,2,0.859212312864313
signed_nfw_residual_of_residual,19,3,0.9075356590924107
signed_nfw_residual_of_residual,19,4,0.8048177526716906
signed_nfw_residual_of_residual,19,5,0.3292456777039942
signed_nfw_residual_of_residual,19,6,0.827564109671745
signed_nfw_residual_of_residual,20,1,0.9995184122721825
signed_nfw_residual_of_residual,20,2,0.9955140932085693
signed_nfw_residual_of_residual,20,3,0.9792022453194812
signed_nfw_residual_of_residual,20,4,0.9911069293274368
signed_nfw_residual_of_residual,20,5,0.6577680347280959
signed_nfw_residual_of_residual,20,6,0.8407288224201795
signed_nfw_residual_of_residual,21,1,0.9984598617678327
signed_nfw_residual_of_residual,21,2,0.9993676850290611
signed_nfw_residual_of_residual,21,3,0.9990350861520665
signed_nfw_residual_of_residual,21,4,0.9926264325313126
signed_nfw_residual_of_residual,21,5,0.8535581561243697
signed_nfw_residual_of_residual,21,6,0.9914434073857968
signed_nfw_residual_of_residual,22,1,0.9975514881400517
signed_nfw_residual_of_residual,22,2,0.9989002178299794
signed_nfw_residual_of_residual,22,3,0.9894798271336139
signed_nfw_residual_of_residual,22,4,0.9850788173082587
signed_nfw_residual_of_residual,22,5,0.7862682306981311
signed_nfw_residual_of_residual,22,6,0.958620083232891
signed_nfw_residual_of_residual,23,1,0.9996058000204031
signed_nfw_residual_of_residual,23,2,0.9809368550134838
signed_nfw_residual_of_residual,23,3,0.9904232101291021
signed_nfw_residual_of_residual,23,4,0.589256546813445
signed_nfw_residual_of_residual,23,5,0.6591138530432308
signed_nfw_residual_of_residual,23,6,0.947572174461172
signed_nfw_residual_of_residual,24,1,0.9984969020131814
signed_nfw_residual_of_residual,24,2,0.9918387249394818
signed_nfw_residual_of_residual,24,3,0.9974452664225633
signed_nfw_residual_of_residual,24,4,0.4164951677371969
signed_nfw_residual_of_residual,24,5,0.7742514549887237
signed_nfw_residual_of_residual,24,6,0.83527084963295
signed_nfw_residual_of_residual,25,1,0.9949504278246781
signed_nfw_residual_of_residual,25,2,0.935335419171081
signed_nfw_residual_of_residual,25,3,0.973263511090016
signed_nfw_residual_of_residual,25,4,0.7423576216536354
signed_nfw_residual_of_residual,25,5,0.9182786264823836
signed_nfw_residual_of_residual,25,6,0.853497520816848
signed_nfw_residual_of_residual,26,1,0.9833691772165641
signed_nfw_residual_of_residual,26,2,0.9641689547392924
signed_nfw_residual_of_residual,26,3,0.9830036753301779
signed_nfw_residual_of_residual,26,4,0.9841853073322051
signed_nfw_residual_of_residual,26,5,0.6439397583197289
signed_nfw_residual_of_residual,26,6,0.5652356056174835
signed_nfw_residual_of_residual,27,1,0.9995186817451416
signed_nfw_residual_of_residual,27,2,0.8056791514777629
signed_nfw_residual_of_residual,27,3,0.9655029242270855
signed_nfw_residual_of_residual,27,4,0.8383638381855165
signed_nfw_residual_of_residual,27,5,0.6584996661869091
signed_nfw_residual_of_residual,27,6,0.9174782323891264
signed_nfw_residual_of_residual,28,1,0.9972947228803319
signed_nfw_residual_of_residual,28,2,0.9935870175080627
signed_nfw_residual_of_residual,28,3,0.9922304872554666
signed_nfw_residual_of_residual,28,4,0.9818355887041047
signed_nfw_residual_of_residual,28,5,0.6670908133309574
signed_nfw_residual_of_residual,28,6,0.8623017969637966
signed_nfw_residual_of_residual,29,1,0.9985896416584856
signed_nfw_residual_of_residual,29,2,0.8093935382747908
signed_nfw_residual_of_residual,29,3,0.9774799443349926
signed_nfw_residual_of_residual,29,4,0.7552585412455239
signed_nfw_residual_of_residual,29,5,0.5790429826208909
signed_nfw_residual_of_residual,29,6,0.9189958346837159
signed_nfw_residual_of_residual,30,1,0.9086354914380658
signed_nfw_residual_of_residual,30,2,0.9981014784340683
